Name,Area (ABD) (µm²),Area (Filled) (µm²),Aspect Ratio,Average Blue,Average Green,Average Red,Biovolume (Cylinder) (µm³),Biovolume (P. Spheroid) (µm³),Biovolume (Sphere) (µm³),Calibration Factor,Calibration Image,Capture ID,Capture X (px),Capture Y (px),Ch1 Area,Ch1 Peak,Ch1 Width,Ch2 Area,Ch2 Peak,Ch2 Width,Ch2/Ch1 Ratio,Circle Fit,Circularity,Circularity (Hu),Compactness,Convex Perimeter (µm),Convexity,Date,Diameter (ABD) (µm),Diameter (ESD) (µm),Diameter (FD) (µm),Edge Gradient,Elapsed Time (s),Elongation,Feret Angle Max (°),Feret Angle Min (°),Fiber Curl,Fiber Straightness,Filter Score,Geodesic Aspect Ratio,Geodesic Length (µm),Geodesic Thickness (µm),Group ID,Image Height (px),Image Width (px),Intensity,Length (µm),Particles Per Chain,Perimeter (µm),Ratio Blue/Green,Ratio Red/Blue,Ratio Red/Green,Roughness,Sigma Intensity,Source Image,Sphere Complement (µm³),Sphere Count,Sphere Unknown (µm³),Sphere Volume (µm³),Sqrt Circularity,Sum Intensity,Symmetry,Time,Timestamp,Transparency,UUID,Volume (ABD) (µm³),Volume (ESD) (µm³),Width (µm)
2024-10-30 P1444 Group 4 Rev 5 R02 PP1,4747.18,4747.18,0.98,0.00,0.00,0.00,318452.88,245027.68,246046.63,1.83,21.00,21.00,610.00,345.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.92,0.83,1.00,1.20,264.58,1.00,2024-10-30 11:56:29,77.75,80.34,77.75,196.48,3.09,1.00,30.00,-90.00,0.00,1.15,0.00,1.00,74.01,74.01,21,56.00,59.00,28.68,85.17,1.00,296.06,0.00,0.00,0.00,1.12,44.64,45062,0.00,0.00,0.00,0.00,0.91,49652.00,0.87,2024-10-30 11:56:29,2024-10-30 11:56:29,0.03,8ADA0F7F96D711EF937150EBF6EE7050,246046.63,271474.73,76.01
2024-10-30 P1444 Group 4 Rev 5 R02 PP1,3802.81,3802.81,0.98,0.00,0.00,0.00,206835.66,174477.60,176408.71,1.83,22.00,22.00,492.00,607.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.94,0.91,1.00,1.10,235.13,1.00,2024-10-30 11:56:29,69.58,71.08,69.58,240.20,3.09,1.00,-50.00,0.00,0.00,1.16,0.00,1.00,64.10,64.10,22,52.00,52.00,25.50,74.18,1.00,256.39,0.00,0.00,0.00,1.09,36.33,45062,0.00,0.00,0.00,0.00,0.95,36165.00,0.92,2024-10-30 11:56:29,2024-10-30 11:56:29,0.02,8ADA11D596D711EF937150EBF6EE7050,176408.71,188006.23,68.69
2024-10-30 P1444 Group 4 Rev 5 R02 PP1,2246.64,2246.64,0.97,0.00,0.00,0.00,100592.51,79207.96,80106.06,1.83,23.00,23.00,629.00,818.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.93,0.92,1.00,1.08,184.85,1.00,2024-10-30 11:56:29,53.48,55.10,53.48,245.76,3.09,1.00,30.00,-90.00,0.00,1.14,0.00,1.00,50.41,50.41,23,43.00,44.00,27.61,57.70,1.00,201.63,0.00,0.00,0.00,1.09,36.39,45062,0.00,0.00,0.00,0.00,0.96,24631.00,0.89,2024-10-30 11:56:29,2024-10-30 11:56:29,0.03,8ADA13F996D711EF937150EBF6EE7050,80106.06,87592.80,52.20
2024-10-30 P1444 Group 4 Rev 5 R02 PP1,5038.78,5038.78,0.99,0.00,0.00,0.00,294826.78,267071.76,269061.99,1.83,24.00,24.00,343.00,1197.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.96,0.93,1.00,1.08,267.74,1.00,2024-10-30 11:56:29,80.10,81.30,80.10,215.62,3.09,1.00,-60.00,0.00,0.00,1.16,0.00,1.00,72.14,72.14,24,58.00,58.00,26.22,83.34,1.00,288.55,0.00,0.00,0.00,1.08,33.88,45062,0.00,0.00,0.00,0.00,0.96,47908.00,0.93,2024-10-30 11:56:29,2024-10-30 11:56:29,0.01,8ADA161B96D711EF937150EBF6EE7050,269061.99,281393.04,79.67
2024-10-30 P1444 Group 4 Rev 5 R02 PP1,4771.45,4771.45,0.97,0.00,0.00,0.00,298127.83,244491.01,247935.80,1.83,25.00,25.00,535.00,1545.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.92,0.87,1.00,1.14,263.99,1.00,2024-10-30 11:56:29,77.94,80.03,77.94,166.40,3.09,1.00,15.00,-90.00,0.00,1.15,0.00,1.00,72.41,72.41,25,56.00,58.00,31.30,83.34,1.00,289.62,0.00,0.00,0.00,1.10,36.19,45062,0.00,0.00,0.00,0.00,0.93,54425.00,0.88,2024-10-30 11:56:29,2024-10-30 11:56:29,0.03,8ADA182E96D711EF937150EBF6EE7050,247935.80,268391.77,76.01
2024-10-30 P1444 Group 4 Rev 5 R02 PP1,2087.16,2087.16,0.67,0.00,0.00,0.00,105203.25,56625.72,71729.56,1.83,26.00,26.00,832.00,1809.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.68,0.84,0.92,1.19,185.72,1.00,2024-10-30 11:56:29,51.55,55.36,51.55,190.06,3.09,1.00,-65.00,15.00,0.00,1.34,0.00,1.00,51.17,51.17,26,48.00,40.00,40.78,68.69,1.00,204.66,0.00,0.00,0.00,1.10,42.57,45062,0.00,0.00,0.00,0.00,0.92,34137.00,0.81,2024-10-30 11:56:29,2024-10-30 11:56:29,0.07,8ADA1A5496D711EF937150EBF6EE7050,71729.56,88811.60,43.04
2024-10-30 P1444 Group 4 Rev 5 R02 PP1,3694.91,3694.91,0.99,0.00,0.00,0.00,191643.74,167973.18,168954.24,1.83,27.00,27.00,499.00,80.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.96,0.93,1.00,1.07,231.33,1.00,2024-10-30 11:56:29,68.59,69.70,68.59,143.98,3.19,1.00,5.00,0.00,0.00,1.13,0.00,1.00,62.49,62.49,27,52.00,52.00,39.46,70.52,1.00,249.95,0.00,0.00,0.00,1.08,42.15,45063,0.00,0.00,0.00,0.00,0.97,54538.00,0.94,2024-10-30 11:56:29,2024-10-30 11:56:29,0.02,8ADA1C6B96D711EF937150EBF6EE7050,168954.24,177314.69,68.69
2024-10-30 P1444 Group 4 Rev 5 R02 PP1,5282.39,5282.39,1.00,0.00,0.00,0.00,310993.38,288627.31,288808.36,1.83,28.00,28.00,262.00,640.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.97,0.93,1.00,1.07,273.48,1.00,2024-10-30 11:56:29,82.01,83.24,82.01,176.05,3.19,1.00,-70.00,0.00,0.00,1.16,0.00,1.00,73.43,73.43,28,59.00,59.00,31.66,85.17,1.00,293.73,0.00,0.00,0.00,1.07,38.58,45063,0.00,0.00,0.00,0.00,0.97,60368.00,0.96,2024-10-30 11:56:29,2024-10-30 11:56:29,0.01,8ADA1E8B96D711EF937150EBF6EE7050,288808.36,301948.53,81.51
2024-10-30 P1444 Group 4 Rev 5 R02 PP1,3279.95,3279.95,0.72,0.00,0.00,0.00,178994.50,117507.88,141307.00,1.83,29.00,29.00,517.00,650.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.73,0.88,0.95,1.14,225.40,1.00,2024-10-30 11:56:29,64.62,68.18,64.62,235.15,3.19,1.00,65.00,0.00,0.00,1.30,0.00,1.00,61.08,61.08,29,57.00,44.00,28.18,79.67,1.00,244.33,0.00,0.00,0.00,1.08,37.04,45063,0.00,0.00,0.00,0.00,0.94,35023.00,0.92,2024-10-30 11:56:29,2024-10-30 11:56:29,0.05,8ADA20BB96D711EF937150EBF6EE7050,141307.00,165919.50,54.03
2024-10-30 P1444 Group 4 Rev 5 R02 PP1,2638.26,2638.26,0.93,0.00,0.00,0.00,142867.47,98979.68,101938.69,1.83,30.00,30.00,531.00,859.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.87,0.84,0.99,1.19,201.15,1.00,2024-10-30 11:56:29,57.96,60.19,57.96,136.24,3.19,1.00,15.00,-90.00,0.00,1.12,0.00,1.00,56.66,56.66,30,45.00,48.00,47.08,63.19,1.00,226.64,0.00,0.00,0.00,1.13,47.81,45063,0.00,0.00,0.00,0.00,0.92,48305.00,0.81,2024-10-30 11:56:29,2024-10-30 11:56:29,0.04,8ADA22E296D711EF937150EBF6EE7050,101938.69,114166.12,55.86
