Slice,Count,Total Area,Average Size,%Area,Mean,Mode,Perim.,Major,Minor,Angle,Circ.,Solidity,Feret,FeretX,FeretY,FeretAngle,MinFeret,IntDen,Median,Skew,Kurt
2024-10-30 P2001 Group 2 Rev 1 R01_01206.png,1,659,659,33.350,255,255,97.255,34.921,24.027,91.638,0.876,0.960,35.440,14,44,73.610,24.000,168045,255,NaN,NaN
2024-10-30 P2001 Group 2 Rev 1 R01_01560.png,1,1218,1218,42.558,255,255,130.225,39.845,38.921,46.452,0.903,0.962,42.521,12,40,41.186,39.000,310590,255,NaN,NaN
2024-10-30 P2001 Group 2 Rev 1 R01_01574.png,1,540,540,33.750,255,255,84.669,26.406,26.038,147.643,0.947,0.960,27.857,7,16,158.962,26.000,137700,255,NaN,NaN
2024-10-30 P2001 Group 2 Rev 1 R01_01212.png,1,565,565,34.451,255,255,87.497,26.930,26.713,98.136,0.927,0.951,28.018,13,32,55.176,27.000,144075,255,NaN,NaN
2024-10-30 P2001 Group 2 Rev 1 R01_00124.png,1,984,984,37.104,255,255,115.983,35.541,35.252,79.361,0.919,0.965,37.014,15,11,128.418,35.000,250920,255,NaN,NaN
2024-10-30 P2001 Group 2 Rev 1 R01_00642.png,1,1054,1054,43.917,255,255,120.468,36.864,36.404,85.191,0.913,0.962,37.855,20,7,102.200,36.999,268770,255,NaN,NaN
2024-10-30 P2001 Group 2 Rev 1 R01_01548.png,1,896,896,40.561,255,255,110.811,33.963,33.591,3.861,0.917,0.958,35.355,9,33,28.740,33.928,228480,255,NaN,NaN
2024-10-30 P2001 Group 2 Rev 1 R01_00656.png,1,1486,1486,44.949,255,255,142.368,43.822,43.175,32.723,0.921,0.968,45.695,19,49,66.801,43.000,378930,255,NaN,NaN
2024-10-30 P2001 Group 2 Rev 1 R01_00130.png,1,536,536,33.500,255,255,84.669,26.665,25.594,47.927,0.940,0.957,27.803,9,29,37.694,26.000,136680,255,NaN,NaN
2024-10-30 P2001 Group 2 Rev 1 R01_00483.png,4,334,83.500,28.067,255,255,35.653,12.345,7.910,90.349,0.770,0.869,14.057,15.500,12,100.145,8.907,21292.500,255,NaN,NaN
2024-10-30 P2001 Group 2 Rev 1 R01_01789.png,1,582,582,35.488,255,255,88.912,27.617,26.832,24.471,0.925,0.954,28.601,13,32,53.531,27.000,148410,255,NaN,NaN
2024-10-30 P2001 Group 2 Rev 1 R01_00497.png,1,1453,1453,44.777,255,255,144.368,44.345,41.719,23.895,0.876,0.958,48.765,7,38,28.142,42.000,370515,255,NaN,NaN
2024-10-30 P2001 Group 2 Rev 1 R01_01762.png,1,592,592,36.098,255,255,89.497,27.885,27.031,8.658,0.929,0.955,28.844,8,29,33.690,27.000,150960,255,NaN,NaN
2024-10-30 P2001 Group 2 Rev 1 R01_01004.png,1,806,806,37.280,255,255,103.983,32.304,31.768,157.561,0.937,0.962,33.615,8,31,22.751,32.000,205530,255,NaN,NaN
2024-10-30 P2001 Group 2 Rev 1 R01_01010.png,1,580,580,36.250,255,255,88.326,27.627,26.730,8.190,0.934,0.953,28.862,6,17,165.964,27.000,147900,255,NaN,NaN
