Slice,Count,Total Area,Average Size,%Area,Mean,Mode,Perim.,Major,Minor,Angle,Circ.,Solidity,Feret,FeretX,FeretY,FeretAngle,MinFeret,IntDen,Median,Skew,Kurt
2024-10-29 P1444 Group 2 Rev 6 R01_PP2_00662.png,1,793,793.000,40.982,255,255,103.154,32.443,31.121,39.868,0.937,0.965,34.132,8,30.000,31.827,31.000,202215.000,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 6 R01_PP2_00104.png,1,564,564.000,36.154,255,255,87.497,27.349,26.257,22.554,0.926,0.952,28.302,11,32.000,57.995,26.476,143820.000,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 6 R01_PP2_01232.png,1,531,531.000,33.188,255,255,84.083,26.456,25.556,146.393,0.944,0.958,27.459,13,8.000,123.111,25.938,135405.000,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 6 R01_PP2_00892.png,1,948,948.000,38.789,255,255,114.225,35.214,34.277,163.036,0.913,0.959,36.235,11,12.000,129.401,34.883,241740.000,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 6 R01_PP2_01554.png,1,728,728.000,36.768,255,255,99.740,31.035,29.867,18.460,0.920,0.958,32.016,10,32.000,38.660,30.000,185640.000,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 6 R01_PP2_00886.png,1,659,659.000,37.379,255,255,95.154,29.342,28.596,14.441,0.915,0.950,30.414,6,20.000,170.538,29.000,168045.000,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 6 R01_PP2_01540.png,1,562,562.000,36.949,255,255,87.497,26.840,26.660,162.487,0.922,0.952,28.302,7,26.000,32.005,26.833,143310.000,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 6 R01_PP2_00138.png,1,814,814.000,38.396,255,255,113.154,42.629,24.313,107.416,0.799,0.939,42.154,13,7.000,112.306,25.103,207570.000,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 6 R01_PP2_01226.png,1,729,729.000,39.427,255,255,100.326,30.619,30.314,135.209,0.910,0.954,32.249,7,13.000,150.255,30.000,185895.000,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 6 R01_PP2_01541.png,1,658,658.000,37.302,255,255,94.912,29.726,28.184,110.189,0.918,0.956,31.064,11,9.000,123.179,28.000,167790.000,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 6 R01_PP2_00887.png,1,805,805.000,36.508,255,255,104.569,32.880,31.173,6.492,0.925,0.961,33.734,7,26.000,11.976,31.000,205275.000,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 6 R01_PP2_01227.png,1,895,895.000,44.198,255,255,109.154,34.094,33.424,9.788,0.944,0.971,35.511,8,13.000,147.653,33.000,228225.000,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 6 R01_PP2_00139.png,1,1023,1023.000,40.936,255,255,118.468,36.815,35.381,17.227,0.916,0.961,37.696,7,32.000,21.801,35.777,260865.000,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 6 R01_PP2_01233.png,1,416,416.000,29.630,255,255,74.184,23.534,22.507,175.975,0.950,0.960,24.413,9,11.000,145.008,22.000,106080.000,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 6 R01_PP2_01555.png,1,699,699.000,36.105,255,255,96.326,30.344,29.331,88.629,0.947,0.965,31.321,17,7.000,106.699,29.000,178245.000,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 6 R01_PP2_00893.png,1,1205,1205.000,42.133,255,255,128.711,40.996,37.424,153.506,0.914,0.963,42.190,10,13.000,148.570,38.000,307275.000,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 6 R01_PP2_00663.png,1,956,956.000,44.218,255,255,113.640,35.197,34.583,84.037,0.930,0.964,36.359,13,8.000,121.504,34.925,243780.000,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 6 R01_PP2_00105.png,1,1339,1339.000,44.279,255,255,134.468,42.124,40.473,67.117,0.931,0.972,43.829,14,46.000,55.222,40.000,341445.000,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 6 R01_PP2_00111.png,1,1520,1520.000,45.977,255,255,143.539,44.261,43.725,8.721,0.927,0.972,45.607,10,15.000,142.125,43.000,387600.000,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 6 R01_PP2_00677.png,1,955,955.000,38.980,255,255,115.054,35.411,34.338,86.025,0.907,0.956,36.346,23,6.000,97.907,35.000,243525.000,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 6 R01_PP2_01569.png,1,837,837.000,39.574,255,255,105.983,33.236,32.064,21.609,0.936,0.964,34.540,7,30.000,22.109,32.000,213435.000,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 6 R01_PP2_01582.png,1,513,513.000,32.885,255,255,83.255,26.034,25.089,5.278,0.930,0.954,27.203,8,27.000,36.027,25.000,130815.000,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 6 R01_PP2_00844.png,1,562,562.000,34.268,255,255,86.326,27.075,26.429,64.944,0.948,0.960,28.231,13,8.000,112.932,26.163,143310.000,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 6 R01_PP2_01596.png,1,609,609.000,36.250,255,255,90.669,28.402,27.301,175.802,0.931,0.959,29.206,12,9.000,128.047,27.000,155295.000,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 6 R01_PP2_00850.png,1,307,307.000,25.798,255,255,63.355,20.249,19.304,99.806,0.961,0.952,21.190,14,8.000,109.290,19.000,78285.000,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 6 R01_PP2_00688.png,1,815,815.000,39.486,255,255,105.640,35.424,29.293,70.723,0.918,0.960,37.363,17,42.000,74.476,30.000,207825.000,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 6 R01_PP2_00878.png,1,791,791.000,38.213,255,255,103.154,32.165,31.311,20.783,0.934,0.963,33.242,8,30.000,21.161,31.000,201705.000,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 6 R01_PP2_01025.png,1,659,659.000,38.269,255,255,94.083,29.713,28.239,10.711,0.936,0.959,30.676,7,16.000,160.974,28.000,168045.000,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 6 R01_PP2_01743.png,1,612,612.000,34.714,255,255,91.740,28.523,27.319,77.580,0.914,0.953,30.150,20,7.000,95.711,27.000,156060.000,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 6 R01_PP2_01757.png,1,683,683.000,36.959,255,255,96.569,29.758,29.224,147.949,0.920,0.953,30.887,14,8.000,119.055,29.698,174165.000,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 6 R01_PP2_00449.png,1,1001,1001.000,41.761,255,255,116.811,37.536,33.955,103.736,0.922,0.965,38.328,18,7.000,105.124,34.000,255255.000,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 6 R01_PP2_01031.png,1,754,754.000,35.650,255,255,101.983,31.154,30.815,53.136,0.911,0.952,32.450,8,33.000,33.690,31.000,192270.000,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 6 R01_PP2_00307.png,1,946,946.000,39.466,255,255,115.640,38.981,30.899,65.551,0.889,0.958,39.925,17,44.000,67.932,31.623,241230.000,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 6 R01_PP2_01019.png,1,714,714.000,36.061,255,255,98.326,30.663,29.648,96.539,0.928,0.957,31.623,12,9.000,124.695,29.981,182070.000,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 6 R01_PP2_00461.png,1,1381,1381.000,47.359,255,255,138.368,42.141,41.725,35.003,0.906,0.964,43.417,6,30.000,7.943,42.000,352155.000,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 6 R01_PP2_00475.png,1,979,979.000,38.392,255,255,114.811,35.406,35.205,52.241,0.933,0.965,36.674,10,33.000,25.866,35.000,249645.000,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 6 R01_PP2_00313.png,1,1102,1102.000,46.854,255,255,122.225,37.976,36.947,125.610,0.927,0.968,39.408,12,9.000,125.707,37.000,281010.000,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 6 R01_PP2_01958.png,1,476,476.000,27.045,255,255,80.669,25.719,23.565,15.541,0.919,0.946,26.683,7,26.000,12.995,24.000,121380.000,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 6 R01_PP2_01780.png,1,1015,1015.000,39.038,255,255,118.811,36.393,35.511,49.446,0.904,0.962,38.626,19,43.000,68.749,35.846,258825.000,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 6 R01_PP2_01794.png,1,623,623.000,32.963,255,255,91.740,28.717,27.622,53.660,0.930,0.958,29.833,19,37.000,76.430,28.000,158865.000,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 6 R01_PP2_01964.png,1,389,389.000,24.373,255,255,73.012,22.817,21.707,16.316,0.917,0.941,24.207,9,29.000,38.290,22.000,99195.000,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 6 R01_PP2_01970.png,1,595,595.000,37.211,255,255,89.841,27.760,27.290,0.994,0.926,0.959,29.411,9,29.000,35.311,27.000,151725.000,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 6 R01_PP2_01151.png,1,579,579.000,34.464,255,255,88.912,27.780,26.537,167.181,0.920,0.953,28.862,7,24.000,14.036,26.833,147645.000,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 6 R01_PP2_00529.png,1,665,665.000,37.720,255,255,94.912,29.816,28.398,46.484,0.928,0.958,31.064,9,30.000,33.179,29.000,169575.000,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 6 R01_PP2_01637.png,1,775,775.000,37.476,255,255,102.569,31.648,31.179,25.208,0.926,0.960,32.802,9,33.000,37.569,31.000,197625.000,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 6 R01_PP2_01623.png,1,562,562.000,35.125,255,255,85.841,27.144,26.362,125.527,0.958,0.966,28.844,12,8.000,123.690,26.000,143310.000,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 6 R01_PP2_01145.png,1,550,550.000,28.646,255,255,86.083,27.806,25.185,124.539,0.933,0.957,28.844,9,15.000,146.310,25.938,140250.000,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 6 R01_PP2_00273.png,1,913,913.000,43.168,255,255,111.983,34.642,33.556,72.797,0.915,0.964,36.359,8,32.000,31.504,33.000,232815.000,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 6 R01_PP2_00515.png,1,574,574.000,36.795,255,255,87.497,27.061,27.007,85.871,0.942,0.957,28.460,7,24.000,18.435,27.000,146370.000,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 6 R01_PP2_00501.png,1,831,831.000,34.741,255,255,106.569,33.189,31.880,163.369,0.920,0.960,34.670,8,16.000,146.768,32.000,211905.000,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 6 R01_PP2_01179.png,1,482,482.000,33.380,255,255,80.426,25.181,24.372,68.074,0.936,0.955,26.401,8,27.000,37.304,24.000,122910.000,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 6 R01_PP2_00267.png,1,552,552.000,33.659,255,255,85.255,26.788,26.236,19.287,0.954,0.963,28.231,7,26.000,22.932,26.000,140760.000,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 6 R01_PP2_01192.png,1,734,734.000,37.071,255,255,99.740,30.795,30.348,104.963,0.927,0.958,31.890,11,11.000,131.186,30.000,187170.000,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 6 R01_PP2_01838.png,1,763,763.000,39.432,255,255,101.983,31.215,31.122,22.351,0.922,0.957,32.450,9,31.000,33.690,31.000,194565.000,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 6 R01_PP2_00298.png,2,890,445.000,39.982,255,255,76.477,24.789,20.840,5.731,0.851,0.919,25.809,7.500,16.500,155.977,21.117,113475.000,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 6 R01_PP2_01186.png,1,650,650.000,35.154,255,255,93.740,29.375,28.174,110.324,0.930,0.959,31.064,13,7.000,123.179,28.284,165750.000,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 6 R01_PP2_01810.png,1,551,551.000,29.816,255,255,86.912,27.028,25.957,21.192,0.917,0.948,28.302,9,29.000,32.005,26.000,140505.000,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 6 R01_PP2_01804.png,1,475,475.000,30.449,255,255,79.255,25.413,23.798,151.828,0.950,0.959,26.926,8,15.000,158.199,24.000,121125.000,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 6 R01_PP2_01435.png,1,982,982.000,39.296,255,255,116.225,36.011,34.721,48.094,0.914,0.959,37.216,13,41.000,59.300,35.000,250410.000,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 6 R01_PP2_01353.png,1,646,646.000,34.957,255,255,92.912,28.882,28.478,59.053,0.940,0.961,30.017,8,29.000,29.982,28.000,164730.000,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 6 R01_PP2_00059.png,1,1282,1282.000,40.880,255,255,132.711,40.922,39.888,159.691,0.915,0.964,42.154,9,20.000,157.694,40.000,326910.000,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 6 R01_PP2_01347.png,1,515,515.000,30.655,255,255,82.669,25.994,25.226,21.421,0.947,0.958,26.926,6,23.000,15.068,25.000,131325.000,255,NaN,NaN
