Name,Area (ABD) (µm²),Area (Filled) (µm²),Aspect Ratio,Average Blue,Average Green,Average Red,Biovolume (Cylinder) (µm³),Biovolume (P. Spheroid) (µm³),Biovolume (Sphere) (µm³),Calibration Factor,Calibration Image,Capture ID,Capture X (px),Capture Y (px),Ch1 Area,Ch1 Peak,Ch1 Width,Ch2 Area,Ch2 Peak,Ch2 Width,Ch2/Ch1 Ratio,Circle Fit,Circularity,Circularity (Hu),Compactness,Convex Perimeter (µm),Convexity,Date,Diameter (ABD) (µm),Diameter (ESD) (µm),Diameter (FD) (µm),Edge Gradient,Elapsed Time (s),Elongation,Feret Angle Max (°),Feret Angle Min (°),Fiber Curl,Fiber Straightness,Filter Score,Geodesic Aspect Ratio,Geodesic Length (µm),Geodesic Thickness (µm),Group ID,Image Height (px),Image Width (px),Intensity,Length (µm),Particles Per Chain,Perimeter (µm),Ratio Blue/Green,Ratio Red/Blue,Ratio Red/Green,Roughness,Sigma Intensity,Source Image,Sphere Complement (µm³),Sphere Count,Sphere Unknown (µm³),Sphere Volume (µm³),Sqrt Circularity,Sum Intensity,Symmetry,Time,Timestamp,Transparency,UUID,Volume (ABD) (µm³),Volume (ESD) (µm³),Width (µm)
2024-07-16 Roux_Virgin Ti64_R02,2049.59,2049.59,0.99,0.00,0.00,0.00,87070.98,69502.36,69801.21,1.83,21.00,21.00,192.00,258.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.96,0.94,1.00,1.06,175.85,1.00,2024-07-16 13:40:00,51.08,52.25,51.08,252.33,3.59,1.00,-70.00,-90.00,0.00,1.12,0.00,1.00,48.04,48.04,21,42.00,43.00,31.82,54.03,1.00,192.16,0.00,0.00,0.00,1.09,34.51,52,0.00,0.00,0.00,0.00,0.97,26218.00,0.95,2024-07-16 13:40:00,2024-07-16 13:40:00,0.02,6D4480E6439A11EF9A0750EBF6EE7050,69801.21,74695.49,50.37
2024-07-16 Roux_Virgin Ti64_R02,3718.87,3718.87,0.91,0.00,0.00,0.00,204249.88,163495.95,170600.52,1.83,22.00,22.00,289.00,459.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.85,0.90,0.99,1.11,235.82,1.00,2024-07-16 13:40:00,68.81,71.13,68.81,177.35,3.89,1.00,55.00,0.00,0.00,1.22,0.00,1.00,63.83,63.83,22,53.00,50.00,36.27,77.84,1.00,255.32,0.00,0.00,0.00,1.08,39.99,53,0.00,0.00,0.00,0.00,0.95,50416.00,0.86,2024-07-16 13:40:00,2024-07-16 13:40:00,0.03,6D44837B439A11EF9A0750EBF6EE7050,170600.52,188410.26,65.02
2024-07-16 Roux_Virgin Ti64_R02,3652.99,3652.99,0.89,0.00,0.00,0.00,194122.23,155537.92,166087.46,1.83,23.00,23.00,887.00,1741.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.90,0.92,0.99,1.09,230.71,1.00,2024-07-16 13:40:00,68.20,69.60,68.20,105.35,4.00,1.00,-80.00,0.00,0.00,1.18,0.00,1.00,62.76,62.76,23,54.00,50.00,54.72,74.18,1.00,251.03,0.00,0.00,0.00,1.09,48.54,54,0.00,0.00,0.00,0.00,0.96,74853.00,0.94,2024-07-16 13:40:00,2024-07-16 13:40:00,0.02,6D4485DB439A11EF9A0750EBF6EE7050,166087.46,176539.27,65.02
2024-07-16 Roux_Virgin Ti64_R02,3342.46,3342.46,0.97,0.00,0.00,0.00,167461.20,142659.81,145366.07,1.83,24.00,24.00,905.00,1733.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.96,0.93,1.00,1.07,220.36,1.00,2024-07-16 13:40:00,65.24,66.29,65.24,215.14,5.17,1.00,10.00,-90.00,0.00,1.15,0.00,1.00,59.74,59.74,24,50.00,51.00,32.31,68.69,1.00,238.97,0.00,0.00,0.00,1.08,39.98,55,0.00,0.00,0.00,0.00,0.97,40843.00,0.97,2024-07-16 13:40:00,2024-07-16 13:40:00,0.02,6D448842439A11EF9A0750EBF6EE7050,145366.07,152551.43,65.02
2024-07-16 Roux_Virgin Ti64_R02,3635.04,3635.04,0.99,0.00,0.00,0.00,188174.77,164374.98,164864.39,1.83,25.00,25.00,196.00,643.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.97,0.93,1.00,1.07,229.34,1.00,2024-07-16 13:40:00,68.03,69.30,68.03,210.63,5.89,1.00,30.00,-90.00,0.00,1.14,0.00,1.00,62.11,62.11,25,51.00,52.00,32.06,70.52,1.00,248.44,0.00,0.00,0.00,1.08,37.23,56,0.00,0.00,0.00,0.00,0.96,43671.00,0.94,2024-07-16 13:40:00,2024-07-16 13:40:00,0.02,6D448AA7439A11EF9A0750EBF6EE7050,164864.39,174226.55,66.85
2024-07-16 Roux_Virgin Ti64_R02,2650.01,2650.01,0.91,0.00,0.00,0.00,132161.16,98706.61,102620.45,1.83,26.00,26.00,659.00,115.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.88,0.89,0.99,1.12,201.45,1.00,2024-07-16 13:40:00,58.09,60.34,58.09,216.12,6.36,1.00,65.00,0.00,0.00,1.18,0.00,1.00,55.21,55.21,26,49.00,45.00,34.57,65.02,1.00,220.83,0.00,0.00,0.00,1.10,40.90,57,0.00,0.00,0.00,0.00,0.94,35611.00,0.88,2024-07-16 13:40:00,2024-07-16 13:40:00,0.04,6D448D08439A11EF9A0750EBF6EE7050,102620.45,115036.88,55.86
2024-07-16 Roux_Virgin Ti64_R02,2450.71,2450.71,0.98,0.00,0.00,0.00,111665.56,90113.37,91264.62,1.83,27.00,27.00,536.00,907.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.95,0.93,1.00,1.07,191.43,1.00,2024-07-16 13:40:00,55.86,57.14,55.86,228.99,6.42,1.00,10.00,0.00,0.00,1.14,0.00,1.00,52.19,52.19,27,46.00,45.00,33.24,59.53,1.00,208.77,0.00,0.00,0.00,1.09,38.25,58,0.00,0.00,0.00,0.00,0.96,31980.00,0.91,2024-07-16 13:40:00,2024-07-16 13:40:00,0.02,6D448F6E439A11EF9A0750EBF6EE7050,91264.62,97661.25,55.86
2024-07-16 Roux_Virgin Ti64_R02,365.24,367.67,0.35,0.00,0.00,0.00,5692.08,3841.92,5250.87,1.83,28.00,28.00,524.00,862.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.29,0.36,0.46,2.77,122.78,0.78,2024-07-16 13:40:00,21.56,35.05,21.64,230.45,6.89,6.56,-90.00,10.00,0.40,0.72,0.00,0.15,67.83,10.34,28,41.00,25.00,79.52,48.54,1.00,156.34,0.00,0.00,0.00,1.27,38.15,59,0.00,0.00,0.00,0.00,0.60,16541.00,0.22,2024-07-16 13:40:00,2024-07-16 13:40:00,0.38,6D4491E1439A11EF9A0750EBF6EE7050,5250.87,22554.89,15.57
2024-07-16 Roux_Virgin Ti64_R02,34123.51,34123.51,0.75,0.00,0.00,0.00,3246840.37,4485633.90,4741812.38,1.83,29.00,29.00,856.00,676.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.48,0.60,0.90,1.68,730.34,0.91,2024-07-16 13:40:00,208.44,228.59,208.44,247.88,7.53,2.93,-80.00,0.00,0.32,0.76,0.00,0.34,328.93,112.11,29,147.00,119.00,15.11,250.01,1.00,882.08,0.00,0.00,0.00,1.21,22.31,60,0.00,0.00,0.00,0.00,0.77,166068.00,0.50,2024-07-16 13:40:00,2024-07-16 13:40:00,0.09,6D44946F439A11EF9A0750EBF6EE7050,4741812.38,6254495.44,191.40
2024-07-16 Roux_Virgin Ti64_R02,2310.65,2310.65,0.98,0.00,0.00,0.00,103557.35,82907.35,83553.81,1.83,30.00,30.00,208.00,341.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.95,0.93,1.00,1.08,186.39,1.00,2024-07-16 13:40:00,54.24,55.61,54.24,222.42,7.66,1.00,-85.00,0.00,0.00,1.13,0.00,1.00,50.90,50.90,30,45.00,44.00,35.84,57.70,1.00,203.59,0.00,0.00,0.00,1.09,40.18,61,0.00,0.00,0.00,0.00,0.96,32754.00,0.93,2024-07-16 13:40:00,2024-07-16 13:40:00,0.02,6D4496CC439A11EF9A0750EBF6EE7050,83553.81,90041.66,54.03
