Slice,Count,Total Area,Average Size,%Area,Mean,Mode,Perim.,Major,Minor,Angle,Circ.,Solidity,Feret,FeretX,FeretY,FeretAngle,MinFeret,IntDen,Median,Skew,Kurt
2024-10-30 P2002 Group 3 Rev 1 R01_PP2_00257.png,1,1166,1166.000,43.967,255,255,126.468,38.973,38.093,151.780,0.916,0.964,40.224,15,9,124.875,38.000,297330.000,255,NaN,NaN
2024-10-30 P2002 Group 3 Rev 1 R01_PP2_00243.png,1,714,714.000,33.117,255,255,98.326,30.716,29.597,39.873,0.928,0.961,32.202,9,35,36.158,30.000,182070.000,255,NaN,NaN
2024-10-30 P2002 Group 3 Rev 1 R01_PP2_00096.png,1,432,432.000,27.692,255,255,75.841,24.098,22.825,53.338,0.944,0.954,25.000,8,26,36.870,23.000,110160.000,255,NaN,NaN
2024-10-30 P2002 Group 3 Rev 1 R01_PP2_00082.png,1,1262,1262.000,41.733,255,255,130.711,40.164,40.006,153.275,0.928,0.970,41.400,11,14,142.853,40.000,321810.000,255,NaN,NaN
2024-10-30 P2002 Group 3 Rev 1 R01_PP2_00069.png,1,498,498.000,31.964,255,255,82.083,25.512,24.854,24.917,0.929,0.949,26.627,8,29,34.287,25.000,126990.000,255,NaN,NaN
2024-10-30 P2002 Group 3 Rev 1 R01_PP2_00055.png,1,1059,1059.000,43.224,255,255,120.225,37.333,36.117,153.540,0.921,0.965,38.484,7,17,155.433,36.000,270045.000,255,NaN,NaN
2024-10-30 P2002 Group 3 Rev 1 R01_PP2_00041.png,1,840,840.000,38.853,255,255,107.154,33.404,32.018,19.091,0.919,0.962,34.409,13,37,54.462,32.000,214200.000,255,NaN,NaN
2024-10-30 P2002 Group 3 Rev 1 R01_PP2_00109.png,2,1785,892.500,42.259,255,255,94.912,30.770,24.396,82.255,0.831,0.919,33.560,33,38,90.141,25.902,227587.500,255,NaN,NaN
2024-10-30 P2002 Group 3 Rev 1 R01_PP2_00121.png,1,1281,1281.000,37.434,255,255,135.196,41.513,39.289,146.546,0.881,0.955,44.418,15,12,121.185,39.355,326655.000,255,NaN,NaN
2024-10-30 P2002 Group 3 Rev 1 R01_PP2_00135.png,1,1819,1819.000,46.569,255,255,163.095,50.589,45.781,52.382,0.859,0.951,53.907,10,49,40.486,46.669,463845.000,255,NaN,NaN
2024-10-30 P2002 Group 3 Rev 1 R01_PP2_00479.png,1,463,463.000,26.981,255,255,79.497,24.654,23.912,119.093,0.921,0.945,26.000,16,9,112.620,24.042,118065.000,255,NaN,NaN
2024-10-30 P2002 Group 3 Rev 1 R01_PP2_00445.png,1,610,610.000,33.776,255,255,90.912,28.116,27.624,27.664,0.927,0.955,29.206,10,32,38.047,28.000,155550.000,255,NaN,NaN
2024-10-30 P2002 Group 3 Rev 1 R01_PP2_00323.png,1,767,767.000,32.694,255,255,101.740,31.610,30.894,148.247,0.931,0.962,33.015,9,16,144.866,31.000,195585.000,255,NaN,NaN
2024-10-30 P2002 Group 3 Rev 1 R01_PP2_00337.png,1,904,904.000,34.087,255,255,110.811,34.075,33.779,46.789,0.925,0.962,35.228,10,36,34.592,34.000,230520.000,255,NaN,NaN
2024-10-30 P2002 Group 3 Rev 1 R01_PP2_00451.png,1,1211,1211.000,41.529,255,255,137.539,41.286,37.346,137.163,0.804,0.934,46.141,19,7,119.899,38.507,308805.000,255,NaN,NaN
2024-10-30 P2002 Group 3 Rev 1 R01_PP2_00469.png,1,551,551.000,29.946,255,255,85.497,26.648,26.326,64.321,0.947,0.958,27.857,7,19,158.962,26.000,140505.000,255,NaN,NaN
2024-10-30 P2002 Group 3 Rev 1 R01_PP2_00455.png,1,484,484.000,30.326,255,255,79.841,24.915,24.734,121.098,0.954,0.959,26.077,12,9,122.471,24.000,123420.000,255,NaN,NaN
