Tag,Ball-Powder Ratio,Jar,20mm Run Time (Hours),10mm Run Time (Hours),6mm Run Time (Hours),Total Run Time (Hours),Circ.,Feret,AR,Round
A5,15:1,,32.0,8.0,0.0,40.0,0.636,79.398,1.727,0.579
A5,15:1,,32.0,8.0,0.0,40.0,0.768,42.521,1.313,0.762
A5,15:1,,32.0,8.0,0.0,40.0,0.292,53.6,4.822,0.207
A5,15:1,,32.0,8.0,0.0,40.0,0.614,16.279,2.307,0.433
A5,15:1,,32.0,8.0,0.0,40.0,0.724,62.37,1.317,0.759
A5,15:1,,32.0,8.0,0.0,40.0,0.618,51.039,1.252,0.799
A5,15:1,,32.0,8.0,0.0,40.0,0.647,45.706,1.299,0.77
A5,15:1,,32.0,8.0,0.0,40.0,0.688,58.728,1.874,0.534
A5,15:1,,32.0,8.0,0.0,40.0,0.763,34.54,1.443,0.693
A5,15:1,,32.0,8.0,0.0,40.0,0.633,87.573,1.415,0.707
A5,15:1,,32.0,8.0,0.0,40.0,0.72,65.803,1.41,0.709
A5,15:1,,32.0,8.0,0.0,40.0,0.649,91.586,1.134,0.882
A5,15:1,,32.0,8.0,0.0,40.0,0.55,53.852,1.489,0.672
A5,15:1,,32.0,8.0,0.0,40.0,0.611,84.599,1.049,0.953
A5,15:1,,32.0,8.0,0.0,40.0,0.666,8.544,2.144,0.466
A5,15:1,,32.0,8.0,0.0,40.0,0.668,41.304,1.46,0.685
A5,15:1,,32.0,8.0,0.0,40.0,0.638,42.438,1.681,0.595
A5,15:1,,32.0,8.0,0.0,40.0,0.596,54.12,1.052,0.95
A5,15:1,,32.0,8.0,0.0,40.0,0.552,65.368,1.302,0.768
A5,15:1,,32.0,8.0,0.0,40.0,0.72,49.163,1.405,0.712
A5,15:1,,32.0,8.0,0.0,40.0,0.599,59.908,1.637,0.611
A5,15:1,,32.0,8.0,0.0,40.0,0.715,74.686,1.33,0.752
A5,15:1,,32.0,8.0,0.0,40.0,0.678,82.006,1.204,0.83
A5,15:1,,32.0,8.0,0.0,40.0,0.645,58.549,1.319,0.758
A5,15:1,,32.0,8.0,0.0,40.0,0.636,109.018,1.679,0.596
A5,15:1,,32.0,8.0,0.0,40.0,0.584,55.362,1.468,0.681
A5,15:1,,32.0,8.0,0.0,40.0,0.553,62.008,1.188,0.842
A5,15:1,,32.0,8.0,0.0,40.0,0.387,13.342,1.765,0.566
A5,15:1,,32.0,8.0,0.0,40.0,0.634,125.399,1.312,0.762
A5,15:1,,32.0,8.0,0.0,40.0,0.738,38.328,1.362,0.734
A5,15:1,,32.0,8.0,0.0,40.0,0.613,90.211,1.031,0.97
A5,15:1,,32.0,8.0,0.0,40.0,0.563,81.786,1.574,0.635
A5,15:1,,32.0,8.0,0.0,40.0,0.474,68.6,1.563,0.64
A5,15:1,,32.0,8.0,0.0,40.0,0.573,64.14,1.369,0.731
A5,15:1,,32.0,8.0,0.0,40.0,0.712,96.026,1.38,0.725
A5,15:1,,32.0,8.0,0.0,40.0,0.592,84.906,1.351,0.74
A5,15:1,,32.0,8.0,0.0,40.0,0.75,25.495,1.206,0.829
A5,15:1,,32.0,8.0,0.0,40.0,0.704,29.967,1.229,0.813
A5,15:1,,32.0,8.0,0.0,40.0,0.538,81.884,1.222,0.819
A5,15:1,,32.0,8.0,0.0,40.0,0.567,74.061,1.552,0.644
A5,15:1,,32.0,8.0,0.0,40.0,0.569,72.173,1.924,0.52
A5,15:1,,32.0,8.0,0.0,40.0,0.568,61.685,1.276,0.784
A4,15:1,,32.0,0.0,0.0,32.0,0.722,64.031,1.379,0.725
A4,15:1,,32.0,0.0,0.0,32.0,0.705,62.682,1.114,0.898
A4,15:1,,32.0,0.0,0.0,32.0,0.714,65.552,1.448,0.691
A4,15:1,,32.0,0.0,0.0,32.0,0.6,71.868,2.109,0.474
A4,15:1,,32.0,0.0,0.0,32.0,0.744,41.0,1.35,0.74
A4,15:1,,32.0,0.0,0.0,32.0,0.747,137.931,1.434,0.698
A4,15:1,,32.0,0.0,0.0,32.0,0.67,64.63,1.771,0.565
A4,15:1,,32.0,0.0,0.0,32.0,0.494,85.796,1.323,0.756
A4,15:1,,32.0,0.0,0.0,32.0,0.659,90.736,1.858,0.538
A4,15:1,,32.0,0.0,0.0,32.0,0.608,234.002,1.331,0.751
