Slice,Count,Total Area,Average Size,%Area,Mean,Mode,Perim.,Major,Minor,Angle,Circ.,Solidity,Feret,FeretX,FeretY,FeretAngle,MinFeret,IntDen,Median,Skew,Kurt
2024-10-29 P1444 Group 2 Rev 8 R01 PP1_00665.png,1,982,982,35.631,255,255,115.054,36.092,34.643,167.931,0.932,0.965,37.162,9,34,23.806,35.000,250410,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 8 R01 PP1_02072.png,1,910,910,41.214,255,255,111.983,34.350,33.730,153.581,0.912,0.960,36.125,10,12,131.634,33.955,232050,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 8 R01 PP1_02066.png,1,518,518,29.365,255,255,83.497,26.635,24.762,42.685,0.934,0.953,27.459,9,28,33.111,25.456,132090,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 8 R01 PP1_00671.png,1,867,867,40.102,255,255,107.397,33.384,33.067,55.444,0.945,0.967,34.482,15,8,119.539,33.000,221085,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 8 R01 PP1_00117.png,1,1040,1040,41.617,255,255,119.054,36.604,36.176,101.831,0.922,0.963,38.079,15,40,60.068,36.000,265200,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 8 R01 PP1_01209.png,1,598,598,37.375,255,255,89.740,27.869,27.320,48.014,0.933,0.954,28.844,12,32,56.310,27.577,152490,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 8 R01 PP1_00670.png,1,706,706,37.315,255,255,98.569,30.433,29.537,179.885,0.913,0.953,31.623,9,12,145.305,30.000,180030,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 8 R01 PP1_02067.png,1,560,560,35.897,255,255,87.497,27.177,26.236,18.261,0.919,0.951,28.018,8,12,145.176,26.436,142800,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 8 R01 PP1_01208.png,1,696,696,35.969,255,255,97.740,31.140,28.458,10.272,0.916,0.953,31.906,13,36,57.804,28.850,177480,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 8 R01 PP1_00116.png,1,649,649,35.100,255,255,93.154,29.436,28.072,119.169,0.940,0.960,30.676,16,7,109.026,28.284,165495,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 8 R01 PP1_00102.png,1,596,596,33.806,255,255,88.912,27.881,27.217,128.370,0.947,0.961,28.862,19,6,104.036,27.000,151980,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 8 R01 PP1_02073.png,1,769,769,37.150,255,255,102.569,31.672,30.915,164.399,0.919,0.959,33.242,7,27,15.709,31.000,196095,255,NaN,NaN
2024-10-29 P1444 Group 2 Rev 8 R01 PP1_00664.png,1,1123,1123,38.565,255,255,123.054,39.495,36.203,175.070,0.932,0.969,40.522,9,20,164.249,36.000,286365,255,NaN,NaN
